Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Chase%,IZ_Contact%,oppHandedness,Cluster
LOS ANGELES ANGELS,Reid Detmers,advanced,Pitcher,Handedness,2022,vs R,7.42,3.61,2.05,1.52,0.196,0.095,0.10099999999999999,0.217,1.2,0.233,0.743,0.213,0.331,0.456,0.113,0.129,0.067,0.401,0.336,0.263,0.19699999999999998,0.474,0.32799999999999996,26.9,81.7,R,10
HOUSTON ASTROS,Luis Garcia,advanced,Pitcher,Handedness,2022,vs R,9.32,2.47,3.77,1.52,0.255,0.068,0.188,0.205,1.04,0.231,0.773,0.17800000000000002,0.35700000000000004,0.465,0.1,0.133,0.065,0.37200000000000005,0.349,0.27899999999999997,0.155,0.504,0.341,31.2,81.3,R,10
HOUSTON ASTROS,Cristian Javier,advanced,Pitcher,Handedness,2022,vs L,9.76,3.4,2.87,0.91,0.26899999999999996,0.094,0.175,0.193,1.06,0.242,0.812,0.175,0.258,0.5670000000000001,0.127,0.073,0.04,0.253,0.374,0.374,0.192,0.525,0.28300000000000003,25.5,74.2,L,10
OAKLAND ATHLETICS,James Kaprielian,advanced,Pitcher,Handedness,2022,vs R,6.42,4.54,1.41,1.6,0.166,0.11699999999999999,0.048,0.246,1.43,0.258,0.665,0.11699999999999999,0.35,0.534,0.055,0.109,0.027999999999999997,0.34,0.369,0.29100000000000004,0.136,0.5529999999999999,0.311,24.3,83.8,R,10
MILWAUKEE BREWERS,Eric Lauer,advanced,Pitcher,Handedness,2022,vs R,9.27,2.58,3.59,1.88,0.249,0.069,0.18,0.237,1.17,0.263,0.805,0.24,0.293,0.466,0.052000000000000005,0.165,0.049,0.363,0.377,0.259,0.16,0.47600000000000003,0.363,29.3,78.0,R,10
ST. LOUIS CARDINALS,Jack Flaherty,advanced,Pitcher,Handedness,2022,vs R,9.0,11.25,0.8,2.25,0.2,0.25,-0.05,0.2,2.0,0.2,0.909,0.091,0.273,0.636,0.0,0.14300000000000002,0.0,0.364,0.455,0.182,0.091,0.455,0.455,16.1,80.0,R,10
CHICAGO CUBS,Kyle Hendricks,advanced,Pitcher,Handedness,2022,vs L,7.74,3.35,2.31,2.51,0.193,0.083,0.109,0.291,1.53,0.304,0.742,0.237,0.289,0.474,0.063,0.188,0.026000000000000002,0.353,0.368,0.27899999999999997,0.162,0.485,0.353,30.6,83.2,L,10
ARIZONA DIAMONDBACKS,Tyler Gilbert,advanced,Pitcher,Handedness,2022,vs L,8.59,2.45,3.5,1.23,0.25,0.071,0.179,0.16,0.82,0.167,0.435,0.105,0.368,0.526,0.0,0.1,0.0,0.21100000000000002,0.42100000000000004,0.368,0.053,0.579,0.368,25.7,82.1,L,10
ARIZONA DIAMONDBACKS,Tyler Gilbert,advanced,Pitcher,Handedness,2022,vs R,5.0,3.0,1.67,3.0,0.125,0.075,0.05,0.282,1.44,0.246,0.8059999999999999,0.213,0.27899999999999997,0.508,0.032,0.19399999999999998,0.0,0.371,0.387,0.242,0.177,0.46799999999999997,0.355,25.7,82.1,R,10
LOS ANGELES DODGERS,Mitch White,advanced,Pitcher,Handedness,2022,vs R,10.44,3.6,2.9,1.08,0.261,0.09,0.171,0.245,1.36,0.313,0.629,0.2,0.35700000000000004,0.44299999999999995,0.19399999999999998,0.09699999999999999,0.04,0.257,0.5,0.243,0.157,0.47100000000000003,0.371,24.9,84.1,R,10
CLEVELAND GUARDIANS,Triston McKenzie,advanced,Pitcher,Handedness,2022,vs L,9.73,3.41,2.86,1.46,0.27399999999999997,0.096,0.17800000000000002,0.15,0.89,0.157,0.9059999999999999,0.159,0.284,0.557,0.163,0.122,0.12,0.371,0.348,0.281,0.135,0.42700000000000005,0.43799999999999994,27.6,83.5,L,10
CLEVELAND GUARDIANS,Triston McKenzie,advanced,Pitcher,Handedness,2022,vs R,7.03,2.08,3.38,1.6,0.19899999999999998,0.059000000000000004,0.14,0.233,1.08,0.25,0.7759999999999999,0.17,0.34,0.491,0.09,0.128,0.019,0.38299999999999995,0.389,0.228,0.11699999999999999,0.506,0.377,27.6,83.5,R,10
CLEVELAND GUARDIANS,Cal Quantrill,advanced,Pitcher,Handedness,2022,vs L,6.64,3.98,1.67,1.33,0.172,0.10300000000000001,0.069,0.257,1.4,0.277,0.685,0.23399999999999999,0.371,0.395,0.122,0.122,0.043,0.29600000000000004,0.35200000000000004,0.35200000000000004,0.10400000000000001,0.544,0.35200000000000004,32.7,86.0,L,10
SEATTLE MARINERS,Logan Gilbert,advanced,Pitcher,Handedness,2022,vs L,9.18,2.57,3.57,0.55,0.263,0.07400000000000001,0.18899999999999997,0.189,0.96,0.244,0.841,0.21,0.371,0.419,0.057999999999999996,0.057999999999999996,0.0,0.31,0.389,0.302,0.159,0.508,0.33299999999999996,24.8,81.0,L,10
SEATTLE MARINERS,Chris Flexen,advanced,Pitcher,Handedness,2022,vs R,6.35,2.47,2.57,1.41,0.163,0.063,0.1,0.293,1.45,0.321,0.721,0.18899999999999997,0.34299999999999997,0.467,0.076,0.10099999999999999,0.034,0.335,0.376,0.28800000000000003,0.129,0.48200000000000004,0.38799999999999996,27.0,86.6,R,10
WASHINGTON NATIONALS,Josiah Gray,advanced,Pitcher,Handedness,2022,vs L,10.22,6.03,1.7,2.88,0.245,0.145,0.10099999999999999,0.252,1.66,0.271,0.915,0.191,0.23399999999999999,0.574,0.185,0.204,0.045,0.32299999999999995,0.42700000000000005,0.25,0.21899999999999997,0.49,0.292,28.9,78.8,L,10
WASHINGTON NATIONALS,Paolo Espino,advanced,Pitcher,Handedness,2022,vs L,6.0,1.5,4.0,1.5,0.16699999999999998,0.042,0.125,0.253,1.13,0.264,0.888,0.184,0.342,0.474,0.0,0.111,0.0,0.355,0.395,0.25,0.11800000000000001,0.5,0.382,24.9,84.5,L,10
WASHINGTON NATIONALS,Jackson Tetreault,advanced,Pitcher,Handedness,2022,vs L,3.72,2.79,1.33,0.0,0.105,0.079,0.026000000000000002,0.171,0.93,0.194,0.667,0.09699999999999999,0.32299999999999995,0.581,0.111,0.0,0.0,0.32299999999999995,0.32299999999999995,0.355,0.09699999999999999,0.452,0.452,20.5,87.6,L,10
BALTIMORE ORIOLES,Dean Kremer,advanced,Pitcher,Handedness,2022,vs R,5.21,1.89,2.75,0.47,0.136,0.049,0.086,0.27,1.26,0.302,0.813,0.109,0.391,0.5,0.063,0.031,0.04,0.297,0.344,0.359,0.109,0.547,0.344,30.4,81.5,R,10
SAN DIEGO PADRES,Mike Clevinger,advanced,Pitcher,Handedness,2022,vs L,8.72,3.32,2.63,2.08,0.223,0.085,0.138,0.25,1.34,0.271,0.7390000000000001,0.20600000000000002,0.349,0.444,0.071,0.179,0.0,0.42200000000000004,0.313,0.266,0.141,0.516,0.344,27.5,82.4,L,10
PITTSBURGH PIRATES,JT Brubaker,advanced,Pitcher,Handedness,2022,vs L,9.07,3.74,2.42,0.99,0.23399999999999999,0.096,0.13699999999999998,0.24,1.34,0.296,0.7140000000000001,0.177,0.36200000000000004,0.462,0.083,0.083,0.043,0.4,0.308,0.292,0.138,0.515,0.34600000000000003,29.9,85.4,L,10
TEXAS RANGERS,Spencer Howard,advanced,Pitcher,Handedness,2022,vs L,4.5,3.0,1.5,0.0,0.125,0.083,0.042,0.182,1.0,0.211,0.5,0.111,0.389,0.5,0.0,0.0,0.0,0.053,0.632,0.316,0.053,0.474,0.474,27.0,88.2,L,10
TAMPA BAY RAYS,Colin Poche,advanced,Pitcher,Handedness,2022,vs L,12.79,4.26,3.0,2.84,0.34600000000000003,0.115,0.231,0.182,1.11,0.167,0.9520000000000001,0.071,0.071,0.857,0.083,0.16699999999999998,0.0,0.28600000000000003,0.28600000000000003,0.429,0.14300000000000002,0.429,0.429,34.7,76.0,L,10
BOSTON RED SOX,Kutter Crawford,advanced,Pitcher,Handedness,2022,vs L,12.21,5.79,2.11,2.57,0.302,0.14300000000000002,0.159,0.222,1.5,0.258,0.779,0.14300000000000002,0.257,0.6,0.14300000000000002,0.19,0.0,0.457,0.28600000000000003,0.257,0.171,0.429,0.4,26.7,80.4,L,10
DETROIT TIGERS,Drew Hutchison,advanced,Pitcher,Handedness,2022,vs L,7.9,5.93,1.33,1.32,0.19399999999999998,0.145,0.048,0.226,1.54,0.256,0.8240000000000001,0.195,0.268,0.537,0.136,0.091,0.0,0.268,0.366,0.366,0.268,0.39,0.341,30.6,86.3,L,10
MINNESOTA TWINS,Joe Ryan,advanced,Pitcher,Handedness,2022,vs L,5.68,2.56,2.22,1.14,0.159,0.071,0.087,0.209,1.04,0.22,0.9179999999999999,0.11800000000000001,0.26899999999999996,0.613,0.175,0.07,0.08,0.337,0.41100000000000003,0.253,0.23199999999999998,0.46299999999999997,0.305,26.0,79.7,L,10
MINNESOTA TWINS,Chris Archer,advanced,Pitcher,Handedness,2022,vs L,8.53,5.33,1.6,0.71,0.21100000000000002,0.132,0.079,0.196,1.34,0.239,0.9640000000000001,0.18100000000000002,0.361,0.45799999999999996,0.121,0.061,0.115,0.342,0.342,0.315,0.151,0.534,0.315,22.5,81.8,L,10
MINNESOTA TWINS,Chris Archer,advanced,Pitcher,Handedness,2022,vs R,5.75,3.75,1.53,1.5,0.155,0.10099999999999999,0.054000000000000006,0.217,1.19,0.214,0.6459999999999999,0.204,0.41700000000000004,0.38,0.049,0.146,0.044000000000000004,0.37,0.33299999999999996,0.29600000000000004,0.157,0.45399999999999996,0.389,22.5,81.8,R,10
CHICAGO WHITE SOX,Michael Kopech,advanced,Pitcher,Handedness,2022,vs L,11.08,5.68,1.95,1.42,0.281,0.14400000000000002,0.13699999999999998,0.222,1.45,0.284,0.825,0.231,0.16699999999999998,0.603,0.085,0.106,0.0,0.342,0.342,0.316,0.127,0.57,0.304,25.0,81.8,L,10
